id,age,gender,nationality,familiarity,personalityResponses,preSurveyResponses,timeSpent,fightCnt,punchCnt,avgSpeed,totalDist,collectedItemCnt,totalItemCnt,crowdPersonality,postSurveyResponses
A1GRPIBHW72HDU,33," Male "," White ",-1," [1,4,6,5,6,3,4,0,2,0]"," [-1,0,-1,-1,0,1,2,2,1,1,0,2,-1,-1,1,-1,-2]",67.3977,1,17,0.747872,50.4207,2,9,0," [0,-1,-1,-1,0,1,-2,-3,-2,-2,-3,-2,0,-1,-1,-2,-3]"
A1H26VPD84U92J,45," Male "," Hispanic / Latinx ",3," [5,3,5,0,5,0,6,0,4,0]"," [-3,-3,-3,-2,-2,-2,1,0,0,0,-2,1,0,-3,-3,-3,-2]",78.2668,1,15,0.63677,49.8457,3,0,0," [-2,-1,-1,-1,-2,-2,-3,-2,-3,-2,-3,-1,2,2,1,1,2]"
A1MOGDTF2G9ML4,27," Male "," White ",0," [4,4,4,5,3,4,3,3,4,4]"," [-1,-1,-1,1,-1,-1,-1,-1,-1,-2,-1,-1,-1,1,-1,-1,1]",788.56,1,44,0.0970572,76.5383,0,8,0," [-2,-2,-3,-2,-2,-3,-1,-2,-2,-1,-2,-2,-2,-3,-2,-2,-1]"
A1OLC8N32VVVV,50," Male "," Asian ",3," [1,1,1,5,6,5,6,4,1,0]"," [-2,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1]",107.353,4,61,0.361131,38.8359,0,10,0," [-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2]"
A1P3R8TYQAKHR8,32," Female "," Hispanic / Latinx ",1," [1,4,3,5,4,5,3,3,2,3]"," [2,2,2,3,1,2,-1,-1,0,-1,-1,0,1,1,1,1,1]",347.715,14,262,0.354572,123.304,0,52,0," [2,1,0,0,2,0,0,-1,0,0,-2,0,0,1,0,-1,0]"
A1QUDNLO95AKS5,33," Female "," Asian ",0," [5,1,4,4,5,5,5,0,4,1]"," [0,-2,-3,-3,-2,-2,2,-3,-2,-2,-2,-2,0,0,-2,0,0]",187.484,3,38,0.515453,96.6646,0,0,0," [-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-1,-2,2,1,0]"
A1SISJL5ST2PWH,39," Male "," Asian ",2," [1,1,4,1,3,5,4,0,5,3]"," [-1,0,0,-2,0,0,2,2,0,0,-1,0,0,0,0,0,0]",61.9989,4,54,1.24419,77.1876,3,9,0," [-1,2,-1,-1,0,-2,-1,0,-1,0,-2,-1,0,0,0,0,0]"
A1TQJJ3BE0GK44,30," Male "," White ",0," [3,3,3,3,3,3,3,3,3,3]"," [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",51.6867,2,29,0.817271,42.5147,6,13,0," [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
A1XQOZV8LQDM22,47," Male "," White ",1," [0,0,5,1,5,5,5,1,5,1]"," [0,-2,-2,-1,-2,-2,-1,-2,0,0,-1,-2,-1,-2,-2,-1,0]",161.687,1,17,0.557846,90.2354,2,11,0," [-1,-1,-2,-1,-2,-1,0,-2,0,1,-1,-2,-1,0,0,0,0]"
A25SH3L1UR6Y1Z,22," Male "," White ",-2," [0,4,4,0,5,2,4,0,6,0]"," [-1,1,-1,-1,-2,1,2,1,1,1,1,3,-1,0,-1,0,2]",122.988,2,36,0.609594,74.979,0,11,0," [-2,-2,-3,-3,-3,-2,-3,-2,-2,-1,-3,-3,-2,-3,-2,-3,-1]"
A314XJY8V1YL12,50," Female "," White ",-1," [4,1,5,1,6,4,5,1,5,1]"," [-2,-2,-3,-3,-3,-1,-2,1,1,1,-2,-1,2,-1,-1,1,1]",187.671,4,83,0.193884,36.3959,0,20,0," [1,1,2,1,-1,-1,-3,-2,-3,-3,-3,-2,-2,-1,-1,-2,1]"
A31FJNV6495G71,25," Other "," Asian ",0," [0,1,3,3,4,6,5,1,6,3]"," [0,1,0,0,1,2,3,3,0,1,0,3,0,2,0,1,0]",41.112,0,0,1.53311,63.0721,9,4,0," [0,1,0,0,1,2,2,3,0,0,-1,0,1,1,0,1,1]"
A3CQCZ8C17FLLS,25," Male "," Asian ",3," [3,2,4,3,4,6,3,2,0,2]"," [0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0]",139.975,4,50,0.985352,137.926,6,0,0," [2,3,2,3,2,-3,-3,-3,-3,-3,-3,-3,0,0,0,-3,0]"
A3KVKK1XLBTSN3,40," Male "," White ",3," [0,3,3,3,3,6,1,1,4,3]"," [1,0,0,1,0,0,1,2,0,0,-2,2,0,0,0,-2,-2]",219.183,5,1508,0.628125,137.681,0,0,0," [0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0]"
A3MKGDXN95OG8S,0," Male "," Other ",0," [0,0,0,0,5,5,5,5,5,5]"," [1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0]",96.02,2,25,0.523834,50.3189,2,0,0," [-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0]"
A8B4WA1QFNUAW,37," Female "," White ",2," [1,0,4,4,3,5,5,1,3,4]"," [-2,-2,-1,-1,0,1,1,1,0,1,-2,1,2,1,0,2,0]",97.0161,3,44,0.5343,51.9226,2,13,0," [-1,-1,-2,-2,1,-1,-2,-1,-3,0,-2,-1,1,1,1,-1,-1]"
AEIACTPDXL4MJ,24," Male "," Hispanic / Latinx ",3," [0,4,4,3,1,6,2,4,3,0]"," [-1,-1,-1,-1,-1,-1,1,1,1,2,-1,2,-1,0,0,0,-1]",146.954,4,826,0.956725,140.635,3,0,0," [3,3,3,3,1,3,3,1,1,-1,-1,3,1,1,0,0,0]"
AKA8TN8H8DQ6T,30," Male "," Asian ",3," [5,1,4,2,4,6,4,2,4,1]"," [-2,-2,-1,-1,-2,-2,2,-1,-1,-2,-2,-1,-2,-2,-2,-2,-1]",148.02,4,66,0.500159,74.2024,0,3,0," [-2,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1]"
AMOBC1D09Q381,40," Male "," White ",1," [0,0,5,1,5,6,6,0,5,0]"," [0,0,0,0,0,-3,1,-2,1,0,-2,0,0,0,0,0,0]",166.114,4,489,0.696606,115.732,0,11,0," [-2,-2,-2,1,-2,-3,-3,-1,0,0,-3,0,-1,-1,0,-2,0]"
AMPL6MN90AXW8,22," Female "," White ",3," [6,4,6,1,6,4,6,0,4,0]"," [-3,-3,-3,-3,-3,3,-3,-2,0,-2,-3,0,-2,-2,-2,-2,-3]",138.922,5,165,0.774882,107.66,0,0,0," [1,2,2,1,1,-3,-3,-3,2,2,-3,-2,-3,-3,-3,-3,-3]"
